name,addr,city,phone,type,cluster
"les celebrites","160 central park s","new york","212/484-5113","french",42
"les celebrites","155 w. 58th st.","new york city","212-484-5113","french (classic)",42
"cafe '50s","838 lincoln blvd.","venice","310-399-1955","american",545
"cafe blanc","9777 little santa monica blvd.","beverly hills","310-888-0108","pacific new wave",546
"la cachette","10506 little santa monica blvd.","century city","310-470-4992","french (new)",568
"belvedere  the","9882 little santa monica blvd.","beverly hills","310-788-2306","pacific new wave",537
"aquavit","13 w. 54th st.","new york","212/307-7311","continental",24
"aquavit","13 w. 54th st.","new york city","212-307-7311","scandinavian",24
"shun lee west","43 w. 65th st.","new york","212/371-8844","asian",60
"shun lee palace","155 e. 55th st.","new york city","212-371-8844","chinese",60
"bistro garden","176 n. canon dr.","los angeles","310/550-3900","californian",115
"west","63rd street steakhouse 44 w. 63rd st.","new york","212/246-6363","american",375
"mikado","3400 las vegas blvd. s","las vegas","702/791-7111","asian",446
"moongate","3400 las vegas blvd. s.","las vegas","702-791-7352","chinese",666
"bistro","3400 las vegas blvd. s","las vegas","702/791-7111","continental",429
"bistro 45","45 s. mentor ave.","pasadena","818-795-2478","californian",540
"rex il ristorante","617 s. olive st.","los angeles","213/627-2300","italian",19
"rex il ristorante","617 s. olive st.","los angeles","213-627-2300","nuova cucina italian",19
"bernard's","515 s. olive st.","los angeles","213-612-1580","continental",539
"cafe lalo","201 w. 83rd st.","new york","212/496-6031","coffee bar",26
"cafe lalo","201 w. 83rd st.","new york city","212-496-6031","coffeehouses",26
"smith & wollensky","201 e. 49th st.","new york","212/753-1530","american",62
"smith & wollensky","797 third ave.","new york city","212-753-1530","steakhouses",62
"chin's","3200 las vegas blvd. s","las vegas","702/733-8899","asian",67
"chin's","3200 las vegas blvd. s.","las vegas","702-733-8899","chinese",67
"toulouse","b peachtree rd.","atlanta","404/351-9533","french",92
"toulouse","293-b peachtree rd.","atlanta","404-351-9533","french (new)",92
"locanda veneta","3rd st.","los angeles","310/274-1893","italian",13
"locanda veneta","8638 w. third st.","los angeles","310-274-1893","italian",13
"locanda veneta","8638 w 3rd st","los angeles","+1 310-274-1893","italian",13
